model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:Persistence,1422,3.939521800281294,12.67696117313181,0.9605792920585727,0.1420534458509142,aqi,Persistence,0.0
AQI:LinearRegression,1422,5.181825861182912,12.716915279513978,0.9603304151961936,0.2273316769120016,aqi,LinearRegression,0.0811566990000756
AQI:RandomForest,1422,4.782574350030082,12.781770386863496,0.9599247609029029,-0.10965526933097085,aqi,RandomForest,30.8271801410001
AQI:GradientBoosting,1422,6.401469428135553,13.832169698980145,0.9530673890179656,0.032201139387539185,aqi,GradientBoosting,32.12505278799972
AQI:GRU,1382,5.857504336061352,15.978664312415644,0.931356664278487,-0.8896948568025543,aqi,GRU,
AQI:PINN,1382,6.113032852423071,15.947816924084306,0.931621445322527,-0.8193008238591156,aqi,PINN,
AQI:PIIANN,1382,5.669417384664855,15.792449240253404,0.9329472779112756,-0.7596447358760989,aqi,PIIANN,
pm25:PIIANN,1481,17.522702397425217,26.50113023916104,0.27390676017947346,0.4043366170307819,pm25,PIIANN,
pm10:PIIANN,1473,46.8191630735093,87.84515286081559,0.3458377564257059,-3.779171089371774,pm10,PIIANN,
no2:PIIANN,1535,14.332813165266467,21.179072438774817,0.41793588662035364,-0.7582739896853894,no2,PIIANN,
so2:PIIANN,1451,8.087518883164302,12.248312216083683,0.19565499646916318,-0.12609712321498656,so2,PIIANN,
co:PIIANN,1466,0.22383243558352553,0.3202293730037579,0.35135819571109095,0.005977874535665768,co,PIIANN,
o3:PIIANN,1444,13.046641460911388,21.111603000612792,0.22569502569066813,-0.6069648508550057,o3,PIIANN,
